"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CUI_PURCHASE_URL";"DESCRIPTION";"MANUFACTURER";"MAXIMUM_PACKAGE_HEIGHT";"MF";"MP";"PACKAGE";"PARTREV";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SF_SKU";"SPICEPREFIX";"STANDARD";"VALUE";
"5V-IN";"";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";"";"";"";"";"";"14";"";"";"";"";"";"";"";
"AUDIO-OUT";"SJ1-3525NG-GR";"SJ1-3525NG-GR";"CUI_SJ1-3525NG-GR";"3.5 mm Right-Angle Stereo Jack, 5 Pin PCB Mount, Isolated Ground, Green Check availability";"In Stock";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-352xng-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";"3.5 mm, Stereo, Right Angle, Through Hole, Isolated Ground, 3 Conductors, 0~2 Internal Switches, Audio Jack Connector";"";"";"CUI Devices";"SJ1-3525NG-GR";"None";"";"";"None";"";"https://pricing.snapeda.com/search/part/SJ1-3525NG-GR/?ref=eda";"";"";"";"";
"BAT";"";"BATTERY-20MM_PTH_KIT";"BATTCOM_20MM_PTH_KIT";"Battery - Single Cell";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BOOT";"";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"SWCH-14278";"";"COM-08229";"";"";"";
"C1";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"C";"";"";
"C2";"10u-tantalum";"CPOL-USCT3528";"CT3528";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"C";"";"";
"C3";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"C";"";"";
"C4";"10u-tantalum";"CPOL-USCT3528";"CT3528";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"C";"";"";
"C5";"10u-tantalum";"CPOL-USCT3528";"CT3528";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"C";"";"";
"C6";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"C";"";"";
"C7";"1u";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"C";"";"";
"C8";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"C";"";"";
"C9";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"C";"";"";
"C10";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"C";"";"";
"C11";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"C";"";"";
